dataset_width,DBStream,LSTM-AD,Normalizing Flows,S2G++1p,S2G++1p-KDE,S2G++1p-KDE-0.5.0,S2G++20p,S2G++20p-KDE,S2G++20p-KDE-0.5.0,S2G++20p-KDE-Distributed,Torsk,k-Means,mSTAMP
1,10.227339267730711,3.461778163909912,6.90960693359375,4.804872512817383,5.918115854263306,1.2590453624725342,1.8634204864501955,2.503420352935791,1.0576138496398926,1.41,12.62040376663208,7.676753282546997,20.640787363052368
2,22.413130283355716,3.6471364498138423,4.791235446929932,1.9373540878295896,1.889298439025879,1.346116065979004,1.8867318630218504,1.8913207054138184,1.312950611114502,1.18,15.506305932998655,8.875370264053345,27.08078098297119
4,89.61226511001587,3.776893615722656,4.816324234008789,2.2911877632141118,2.442965030670166,1.9587290287017824,2.0367884635925293,2.4490509033203125,2.0117127895355225,1.2633333333333334,31.97869062423706,11.421555519104004,41.66578531265259
6,413.9079282283783,6.787711381912232,7.426885604858398,2.688183546066284,3.664269208908081,2.599849939346313,2.2688465118408203,2.907801389694214,2.36845326423645,1.4033333333333333,21.77847361564636,20.87744450569153,56.15437388420105
8,714.7125399112701,3.941744089126587,4.814137935638428,2.8816230297088623,3.870419025421143,3.3225033283233643,2.339928388595581,3.4102468490600586,2.93221378326416,1.1866666666666668,26.760785341262817,21.98074436187744,76.47172093391418
10,903.5331528186798,4.023765802383423,4.802366256713867,5.499615430831909,10.74080491065979,3.674993991851807,5.111495494842529,3.9243357181549072,3.728150844573975,1.6033333333333335,20.10753631591797,19.311280727386475,90.99791955947876
12,1102.23317861557,4.032016277313232,7.723623514175415,3.6360793113708496,5.139956712722778,4.336365222930908,2.666757822036743,7.321414709091186,4.225810527801514,1.7133333333333332,21.0883526802063,25.13207244873047,106.32206082344057
14,1291.5109272003174,4.207228422164917,7.751915454864502,3.3259177207946777,5.107350826263428,4.992607355117798,2.803880453109741,5.286921262741089,7.02564811706543,1.8166666666666667,31.090035676956177,35.221115827560425,121.21001601219176
16,1494.6891837120056,6.764374256134033,4.912409543991089,3.602027416229248,6.131485939025879,5.435389518737793,3.0990102291107178,6.06412935256958,5.2978715896606445,1.9233333333333331,26.63761711120605,31.28180956840515,139.0202260017395
18,1535.4235889911652,4.267905473709106,7.182726144790649,3.664414405822754,7.530530214309692,5.797825813293457,3.1874282360076904,5.169458627700806,5.546941518783569,2.0366666666666666,23.581891298294067,36.55976128578186,161.98060965538025
20,1885.754718542099,7.008460521697998,4.804545164108276,6.931166410446167,6.593505144119263,6.8844921588897705,4.030344247817993,6.573771953582764,7.531261920928955,2.1666666666666665,30.105685472488403,42.85453701019287,175.42871141433716
50,4912.189031124115,4.790304660797119,,10.895975351333618,16.242817163467407,16.948133945465088,20.10236430168152,18.21356439590454,48.47251486778259,4.086666666666667,33.32076621055603,105.76018810272215,462.5386416912079
100,9832.376801729202,16.560746908187866,,18.576869010925293,30.852776050567627,33.328553438186646,32.91055417060852,39.78641319274902,44.82204532623291,7.446666666666666,48.96835613250733,126.3041925430298,973.0059797763824
